,Fname,Lname,Dept,rating_class,total_Ratings,overall_rating
1090,Jennifer,Johnson,Accounting,good,38,4.7
1091,Yvonne,Johnson,History,poor,38,2.4
1092,Walter,Johnston,Business,good,61,3.6
1093,Elizabeth,Jones,Business,zero,0,N/A
1094,Christine,Jones,Writing,good,4,3.9
1095,Lynn,Jones,Accounting,good,10,4.6
1096,Jazmine,Jones,Design,zero,0,N/A
1097,Eric,Jones,Music,good,20,4.3
1098,Joonwhi,Joo,Economics,good,1,5.0
1099,Todd,Jordan,English,good,6,5.0
1100,Casper,Kamau,Political Science,good,2,5.0
1101,Simon,Kane,Arts & Technology,average,10,2.6
1102,Heidi,Kane,Psychology,poor,21,1.9
1103,Yuzhu,Kang,Accounting,zero,0,N/A
1104,Shulamith,Kang,History,good,1,4.0
1105,Murat,Kantarcioglu,Computer Science,poor,21,2.3
1106,Vrishali,Kanvinde,Criminal Justice,good,2,4.5
1107,Karen,Kaplan,Behavioral Sciences,average,9,2.8
1108,Marilyn,Kaplan,Business,poor,90,1.9
1109,Larry,Kaplan,Business,good,12,3.9
1110,Bhanu,Kapoor,Computer Science,average,22,3.4
1111,Gity,Karami,Computer Science,average,43,2.6
1112,Daniel,Karnuta,Accounting,good,11,3.6
1113,Sam,Karrah,Computer Science,average,13,3.0
1114,Shyam,Karrah,Computer Science,good,32,4.8
1115,Chamaal,Karunaweera,Chemistry,good,2,5.0
1116,Mona,Kasra,Arts & Technology,average,3,3.3
1117,Dhara,Katbamna,Mathematics,good,1,4.0
1118,Nishant,Kathuria,International Business,good,2,5.0
1119,Elena,Katok,Operations Management,poor,1,1.0
1120,William,Katz,Communication,good,24,3.8
1121,Vaneet,Kaur,International Business,good,6,4.7
1122,Dupinderjeet,Kaur,Finance,average,12,3.0
1123,Jason,Kautz,Business,good,3,5.0
1124,Jeff,Kavanaugh,Marketing,good,1,4.0
1125,Cuneyd,Kaya,Computer Science,poor,1,1.0
1126,Kevin,Kearns,Political Science,poor,15,2.4
1127,John,Kebrle,Engineering,poor,5,1.1
1128,Michael,Keefe,Finance,poor,2,1.2
1129,Sara,Keeth,Literature,good,15,3.9
1130,Joselle,Kehoe,Mathematics,good,45,4.0
1131,Nasser,Kehtarnavaz,Electrical Engineering,poor,14,1.9
1132,Linda,Keith,Political Science,good,14,3.6
1133,Carrie,Kelleher,Communication,good,2,4.5
1134,Erin,Kelley,Arts  Humanities,good,2,5.0
1135,Wei,Kelsey,Business,poor,2,1.0
1136,Kristen,Kennedy,Behavioral Sciences,good,9,4.2
1137,Amy,Kerner,History,zero,0,N/A
1138,Jamie,Kernohan,Marketing,good,1,4.0
1139,Michael,Kesden,Physics,good,9,4.0
1140,Jeff,Kavanaugh,Marketing,good,1,4.0
1141,Cuneyd,Kaya,Computer Science,poor,1,1.0
1142,Kevin,Kearns,Political Science,poor,15,2.4
1143,John,Kebrle,Engineering,poor,5,1.1
1144,Michael,Keefe,Finance,poor,2,1.2
1145,Sara,Keeth,Literature,good,15,3.9
1146,Joselle,Kehoe,Mathematics,good,48,4.0
1147,Nasser,Kehtarnavaz,Electrical Engineering,poor,16,1.9
1148,Linda,Keith,Political Science,good,14,3.6
1149,Carrie,Kelleher,Communication,good,2,4.5
1150,Erin,Kelley,Arts  Humanities,good,2,5.0
1151,Wei,Kelsey,Business,poor,3,1.0
1152,Kristen,Kennedy,Behavioral Sciences,good,9,4.2
1153,Amy,Kerner,History,zero,0,N/A
1154,Jamie,Kernohan,Marketing,good,1,4.0
1155,Michael,Kesden,Physics,good,9,4.0
1156,Mary,Ketchum,Arts amp Humanities,poor,3,2.0
1157,Luba,Ketsler,Economics,good,172,4.3
1158,Farid,Khafizov,Mathematics,average,35,2.8
1159,Sobia,Khan,Arts & Humanities,good,1,5.0
1160,Bernine,Khan,Science,zero,0,N/A
1161,Masudal,Khan,Business,good,3,4.7
1162,Amena,Khan,Physics,average,28,3.1
1163,Kamran,Khan,Computer Science,poor,7,2.1
1164,Taimur,Khan,Information Science,good,32,5.0
1165,Latifur,Khan,Computer Science,average,18,3.3
1166,Ziaullah,Khan,Computer Science,average,99,2.8
1167,Revansiddha,Khanapure,Finance,average,12,2.5
1168,Amir,Khoobroo,Electrical Engineering,average,20,3.2
1169,Soudeh,Khoubrouy,Engineering,good,25,3.5
1170,Raja,Khoury,Business,poor,1,1.0
1171,Kamran,Kiasaleh,Engineering,poor,41,1.6
1172,Virginie,Kidwell,Management,good,10,4.6
1173,Douglas,Kiel,Political Science,good,8,4.6
1174,Robert,Kieschnick,Business,poor,19,2.4
1175,Michael,Kilgard,Medicine,good,26,3.8
1176,Heja,Kim,Social Science,average,8,2.5
1177,Alisha,Kim,Mathematics,average,2,3.0
1178,Kyun,Kim,International Studies,zero,0,N/A
1179,Jung-Whan (Jay),Kim,Biology,good,2,3.5
1180,Carrie,Kelleher,Communication,good,2,4.5
1181,Erin,Kelley,Arts  Humanities,good,2,5.0
1182,Wei,Kelsey,Business,poor,3,1.0
1183,Kristen,Kennedy,Behavioral Sciences,good,9,4.2
1184,Jerillyn,Kent,Psychology,zero,0,N/A
1185,Amy,Kerner,History,zero,0,N/A
1186,Jamie,Kernohan,Marketing,good,1,4.0
1187,Michael,Kesden,Physics,good,9,4.1
1188,Mary,Ketchum,Arts amp Humanities,poor,3,2.0
1189,Luba,Ketsler,Economics,good,172,4.3
1190,Farid,Khafizov,Mathematics,average,35,2.8
1191,Sobia,Khan,Arts & Humanities,good,1,5.0
1192,Bernine,Khan,Science,zero,0,N/A
1193,Masudal,Khan,Business,good,3,4.7
1194,Amena,Khan,Physics,average,28,3.1
1195,Kamran,Khan,Computer Science,poor,7,2.1
1196,Taimur,Khan,Information Science,good,32,5.0
1197,Latifur,Khan,Computer Science,average,18,3.3
1198,Ziaullah,Khan,Computer Science,average,98,2.9
1199,Revansiddha,Khanapure,Finance,average,12,2.5
1200,Amir,Khoobroo,Electrical Engineering,average,20,3.2
1201,Soudeh,Khoubrouy,Engineering,good,25,3.5
1202,Raja,Khoury,Business,poor,1,1.0
1203,Kamran,Kiasaleh,Engineering,poor,40,1.6
1204,Virginie,Kidwell,Management,good,10,4.6
1205,Douglas,Kiel,Political Science,good,8,4.6
1206,Robert,Kieschnick,Business,poor,19,2.4
1207,Michael,Kilgard,Medicine,good,26,3.8
1208,Heja,Kim,Social Science,average,8,2.5
1209,Alisha,Kim,Mathematics,average,2,3.0
1210,Kyun,Kim,International Studies,zero,0,N/A
1211,Jung-Whan (Jay),Kim,Biology,good,2,3.5
1212,Jinsil,Kim,Business,good,1,5.0
1213,Soo Jung,Kim,International Business,poor,2,2.0
1214,Kyun,Kim,Business,good,1,4.0
1215,Dohyeong,Kim,Economics,average,5,3.4
1216,Yeongin,Kim,Business,good,5,4.0
1217,Tae,Kim,Biology,good,1,5.0
1218,Hugh,Kim,Finance,poor,3,2.0
1219,Sang,Kim,Finance,poor,1,1.0
1220,Nami,Kroska,Languages,good,9,4.3
1221,Sergey,Kryzhevich,Mathematics,zero,0,N/A
1222,Sarah,Kucker,Psychology,good,6,4.7
1223,Can,Kucukgul,Operations Management,good,3,5.0
1224,Dmitri,Kuksov,Marketing,average,6,3.0
1225,Ruvini,Kularatne,Chemistry,good,5,4.6
1226,Madhura,Kulkarni,Marketing,good,12,5.0
1227,Nanda,Kumar,Marketing,poor,11,2.4
1228,Golden,Kumar,Engineering,good,5,4.2
1229,Pushpa,Kumar,Computer Science,good,57,4.2
1230,Ramana,Kumar,Computer Science,poor,3,1.7
1231,Abdullah,Kumas,Accounting,good,12,4.9
1232,Gautam,Kunapuli,Computer Science,good,14,4.5
1233,Ching,Kuo,Management,average,15,2.9
1234,Hanan,Kuzat,Mathematics,good,1,4.0
1235,Kim      ,Kyun     ,International Studies,zero,0,N/A
1236,Hoyoun,Kyung,Accounting,good,10,5.0
1237,Virginia,Labar,Education,average,1,2.5
1238,Maria-Elena,Labastida,Economics,poor,1,1.0
1239,Rafael,Lacambra,Computer Science,average,7,3.4
1240,Can,Kucukgul,Operations Management,good,3,5.0
1241,Dmitri,Kuksov,Marketing,average,6,3.0
1242,Ruvini,Kularatne,Chemistry,good,5,4.6
1243,Madhura,Kulkarni,Marketing,good,17,5.0
1244,Nanda,Kumar,Marketing,poor,11,2.4
1245,Golden,Kumar,Engineering,good,5,4.2
1246,Pushpa,Kumar,Computer Science,good,58,4.2
1247,Ramana,Kumar,Computer Science,poor,4,1.8
1248,Abdullah,Kumas,Accounting,good,12,4.9
1249,Gautam,Kunapuli,Computer Science,good,14,4.5
1250,Ching,Kuo,Management,average,15,2.9
1251,Hanan,Kuzat,Mathematics,good,1,4.0
1252,Kim      ,Kyun     ,International Studies,zero,0,N/A
1253,Hoyoun,Kyung,Accounting,good,10,5.0
1254,Virginia,Labar,Education,average,1,2.5
1255,Maria-Elena,Labastida,Economics,poor,1,1.0
1256,Rafael,Lacambra,Computer Science,average,7,3.4
1257,Mary,Lacy,Not Specified,average,12,2.6
1258,Gretchen,Ladd,Psychology,good,18,4.5
1259,Eva,Ladow,Neuroscience,good,17,4.2
1260,Britten,Larue,Art History,poor,6,2.3
1261,David,Lary,Physics,average,17,3.1
1262,Patricia,Lathen,Business,good,1,5.0
1263,Andrea,Laurent-Simpson,Sociology,poor,15,1.9
1264,Kristen,Lawson,Business,good,80,4.2
1265,Raini,Layne,Business Communications,average,17,3.0
1266,Mark,Layton,Operations Management,good,2,4.0
1267,Khiem,Le,Computer Science,average,73,3.0
1268,Sonia,Leach,Business,average,75,2.8
1269,Sonia,Leach,Mathematics,average,2,3.0
1270,Murray,Leaf,Political Science,poor,4,2.0
1271,C,Ledbetter,Science,zero,0,N/A
1272,Seung-Hyun,Lee,Business,average,11,2.7
1273,Young-Joo,Lee,Social Science,good,7,4.3
1274,Jiyong,Lee,Chemistry,average,13,3.3
1275,Richard,Lee,Management,zero,0,N/A
1276,Jeong,Lee,Electrical Engineering,zero,0,N/A
1277,Danbee,Lee,English,poor,2,1.0
1278,Angela,Lee,Arts  Technology,good,10,4.6
1279,Jiyong,Lee,Biology,zero,0,N/A
1280,Barbara,Lee,Business,good,4,4.5
1281,Monghyeon,Lee,Geography,zero,0,N/A
1282,Jeong,Lee,Engineering,zero,0,N/A
1283,Chunseung,Lee,Operations Management,zero,0,N/A
1284,Pil-Seng,Lee,Finance,poor,1,1.0
1285,Gill,Lee,Engineering,poor,13,2.4
1286,Hoi,Lee,Electrical Engineering,average,12,3.1
1287,Minjung,Lee,International Business,good,1,5.0
1288,Jeong-Bong,Lee,Electrical Engineering,good,11,3.6
1289,Jung,Lee,Electrical Engineering,average,75,2.8
1290,Mark,Lee,Physics,average,14,3.4
1291,Patricia,Leek,Education,average,18,2.8
1292,Randall,Lehmann,Electrical Engineering,good,16,4.7
1293,Stefano,Leonardi,Engineering,good,8,4.1
1294,Carole,Lester,History,poor,14,2.3
1295,Paul,Lester,Arts  Technology,poor,21,2.2
1296,Lena,Levario,Criminal Justice,good,1,5.0
1297,Stephen,Levene,Chemistry,average,7,2.5
1298,Julia,Leverone,Arts & Humanities,good,4,4.3
1299,Sheen,Levine,International Business,average,27,3.0
1300,Tom,Lambert,Humanities,good,11,4.4
1301,Laurie,Lamberth,Accounting,zero,0,N/A
1302,Asheley,Landrum,Psychology,good,1,5.0
1303,Brittany,Landrum,Psychology,good,1,5.0
1304,Shelley,Lane,Communication,average,11,3.0
1305,Alicia,Langarica-Prieto,Mathematics,good,1,5.0
1306,John,Langford,Mathematics,good,3,5.0
1307,Carol,Lanham,Sociology,good,32,3.8
1308,Thomas,Lanier,Economics,average,6,2.7
1309,Jennifer,Laprade,Criminal Justice,good,2,5.0
1310,Stephen,Lapthisophon,Arts & Humanities,poor,4,2.4
1311,Patrick,Larue,Political Science,good,67,4.0
1312,Britten,Larue,Art History,poor,6,2.3
1313,David,Lary,Physics,average,17,3.1
1314,Patricia,Lathen,Business,good,1,5.0
1315,Andrea,Laurent-Simpson,Sociology,poor,15,1.9
1316,Kristen,Lawson,Business,good,83,4.2
1317,Raini,Layne,Business Communications,average,18,3.0
1318,Mark,Layton,Operations Management,good,2,4.0
1319,Khiem,Le,Computer Science,average,75,3.0
1320,Wenqi,Li,Languages,good,9,3.7
1321,Wu-Lung,LI,Accounting,zero,0,N/A
1322,Tao,LI,Business,good,2,4.2
1323,XI,LI,Economics,zero,0,N/A
1324,Jingyun,Li,Operations Management,good,2,4.8
1325,Lusi,Li,Management,poor,15,1.9
1326,Xin ,Li,Economics,good,7,4.4
1327,yi,li,Marketing,zero,0,N/A
1328,Dong,Li,Economics,good,7,4.4
1329,Xiaolin,Li,Marketing,average,6,2.5
1330,Meng,LI,Accounting,good,29,3.7
1331,Jun,Li,Finance,good,10,3.8
1332,Yaoyu,Li,Engineering,poor,6,1.7
1333,Changsong,Li,Mathematics,good,156,4.6
1334,Yiyi,Li,Marketing,good,7,4.5
1335,Jianan,Li,Business,good,4,5.0
1336,Ningzhong,Li,Accounting,average,31,3.2
1337,Qiwei,Li,Mathematics,average,7,2.8
1338,Ang,Li,History,zero,0,N/A
1339,Chao,Liang,Business,good,4,4.4
1340,Chenxi,Liao,Marketing,good,2,4.0
1341,Lee,Libby,Arts  Humanities,average,16,2.8
1342,Zhang,Licheng,Economics,zero,0,N/A
1343,Stan,Liebowitz,Economics,average,12,3.1
1344,Peter,Ligon,Arts  Technology,zero,0,N/A
1345,Amanda,Like,Arts  Humanities,good,3,4.3
1346,Elizabeth,Lim,Business,good,6,4.8
1347,Bo Ram,Lim,Marketing,average,15,2.5
1348,Zhiqiang,Lin,Computer Science,average,26,2.8
1349,John Zhiang,Lin,Business,average,6,2.8
1350,Wen Ju,Lin,Biology,good,8,3.5
1351,Wenju,Lin,Biology,average,20,3.2
1352,Nathan,Lindsey,Arts & Technology,zero,0,N/A
1353,Jose,Lineros,Business,good,1,4.5
1354,Kathy,Lingo,Communication,average,26,3.5
1355,Chris,Linsteadt,Accounting,average,44,3.3
1356,Donna,Lippincott,Business,poor,1,1.0
1357,Yang,Liu,Computer Science,poor,6,2.0
1358,Xiaohui,Liu,Accounting,good,8,4.6
1359,Ling,Liu,Accounting,poor,4,1.6
1360,Jin,Liu,Electrical Engineering,poor,10,2.4
1361,Cong,Liu,Computer Science,good,5,3.7
1362,Bo,Liu,Accounting,good,4,4.8
1363,Yu,Liu,Business,good,3,5.0
1364,Runzhou,Liu,Mathematics,average,2,2.5
1365,QuanQuan,Liu,Business,zero,0,N/A
1366,Bing,Liv,Physics,zero,0,N/A
1367,Michele,Lockhart,Business,average,68,3.3
1368,Jessica,Lockhart,Psychology,average,9,3.2
1369,Philipos,Loizou,Electrical Engineering,good,1,4.0
1370,Natalia,Londono,Economics,zero,0,N/A
1371,Dan,Long,Behavioral Sciences,good,2,4.2
1372,Kathryn,Lookadoo,Business Communications,good,32,3.5
1373,Yifei,Lou,Mathematics,average,10,3.4
1374,Maria,Loumioti,Accounting,good,2,5.0
1375,Emily,Loving,Arts & Humanities,good,9,3.7
1376,Evan,Lowe,Political Science,good,76,4.1
1377,Florence,Lowe,Management,zero,0,N/A
1378,Robert,Lowry,Political Science,average,37,3.0
1379,Lauren,Loyless,Business Communications,good,3,5.0
1380,Wenyi,Lu,Mathematics,poor,3,2.0
1381,Hongbing,LU,Engineering,good,5,4.0
1382,Connor,Lubojacky,Business,zero,0,N/A
1383,Veronica,Lugtu,Education,good,1,5.0
1384,Lloyd,Lumata,Physics,good,38,3.6
1385,Ting,Luo,Operations Management,good,1,4.0
1386,Kevin,Lutz,Computer & Math. Sciences,good,1,5.0
1387,Holly,Lutze,Business,good,21,4.6
1388,Ryan,Lux,Political Science,good,51,3.8
1389,Bing,Lv,Physics,good,50,3.8
1390,Julie,Lynch,Finance,poor,13,1.8
1391,David,Lyons,English,good,20,5.0
1392,Meung,Ma,Accounting,zero,0,N/A
1393,Dongsheng,MA,Engineering,good,7,4.1
1394,Guang,MA,Accounting,good,5,4.2
1395,Liping,Ma,Finance,good,13,3.8
1396,Lynn,Mabe,Communication,good,20,4.2
1397,Paul,MacAlevey,Physics,average,39,2.8
1398,Gregory,MacDonald,Management,good,6,4.0
1399,Christopher,Mace,Finance,poor,4,1.8
1400,John,Malek-Ahmadi,Sociology,good,47,4.7
1401,Jonathan,Malesic,Writing,average,2,2.5
1402,Arif,Malik,Engineering,good,4,3.8
1403,Hemant,Malik,Computer Science,average,6,2.7
1404,Anton,Malko,Physics,poor,17,1.8
1405,Stephen,Mallory,Arts & Technology,good,1,5.0
1406,Samir,Mamadehussene,Marketing,poor,8,2.0
1407,Fariba,Mamaghani,Statistics,zero,0,N/A
1408,Fariba,Mamaghani,Operations Management,good,11,3.8
1409,Simone,Manca,Economics,zero,0,N/A
1410,Chandrasekhar,Manchiraju,Operations Management,average,3,2.7
1411,Christopher,Manes,English,poor,6,2.2
1412,andrew,manikas,Physics,zero,0,N/A
1413,Ashley,Mann,Engineering,poor,3,2.3
1414,William,Manton,Geology,good,22,3.5
1415,Jeffrey,Manzi,Finance,good,36,3.7
1416,Whitney,Manzo,Political Science,good,5,4.3
1417,Dylan,Mao,Biology,zero,0,N/A
1418,Joe,Marchant,Business,average,12,2.6
1419,Diana,Marcus,Art History,average,5,3.0
1420,Lloyd,Lumata,Physics,good,38,3.6
1421,Ting,Luo,Operations Management,good,1,4.0
1422,Kevin,Lutz,Mathematics,good,14,5.0
1423,Kevin,Lutz,Computer & Math. Sciences,good,1,5.0
1424,Holly,Lutze,Business,good,21,4.6
1425,Ryan,Lux,Political Science,good,51,3.8
1426,Bing,Lv,Physics,good,50,3.8
1427,Julie,Lynch,Finance,poor,13,1.8
1428,David,Lyons,English,good,20,5.0
1429,Meung,Ma,Accounting,zero,0,N/A
1430,Dongsheng,MA,Engineering,good,7,4.1
1431,Guang,MA,Accounting,good,5,4.2
1432,Liping,Ma,Finance,good,13,3.8
1433,Ying,Ma,Languages,zero,0,N/A
1434,Lynn,Mabe,Communication,good,20,4.2
1435,Paul,MacAlevey,Physics,average,39,2.8
1436,Gregory,MacDonald,Management,good,6,4.0
1437,Christopher,Mace,Finance,poor,3,2.0
1438,Duncan,Macfarlane,Engineering,average,18,3.5
1439,Rosalyn,MacK,Rhetoric,average,12,2.6
1440,Stanimir,Markov,Accounting,good,17,3.7
1441,David,Marks,Arts  Technology,good,3,5.0
1442,Irene,Marroquin,Engineering,average,4,2.8
1443,Robert,Marsh,Biology,average,30,2.7
1444,Lindsay,Martin,English,good,2,5.0
1445,Casey,Martin,Accounting,good,3,4.8
1446,Kelli,Martin,Criminal Justice,good,1,4.0
1447,Jeffrey,Martin,Speech amp Language Pathology,zero,0,N/A
1448,Carlos,Martinez,Business,zero,0,N/A
1449,Carlos,Martinez,Information Science,good,2,3.5
1450,Nico,Martini,Arts & Technology,good,3,4.2
1451,Irina,Martynova,Mathematics,average,41,3.0
1452,Vatsal,Maru,Business,zero,0,N/A
1453,Jonathan,Maskaly,Criminal Justice,good,10,4.3
1454,Alexandra,Mastromartino,Arts amp Humanities,good,1,5.0
1455,Betty,Mathew,Speech  Language Pathology,good,7,4.0
1456,Shivika,Mathur,Rhetoric,poor,1,2.0
1457,Crystal,Maung,Computer Science,good,6,3.8
1458,Joseph,Mauriello,Accounting,good,19,4.5
1459,Sarah,Maxwell,Criminal Justice,good,12,4.9
1460,Isaac,McFarlin Jr.,Economics,average,3,2.7
1461,Charles,McGhee,Mathematics,average,33,3.3
1462,Suzanne,McIntosh,Rhetoric,good,7,4.8
1463,Christa,McIntyre Rodriguez,Science,good,12,4.5
1464,Brian,McKay,Criminal Justice,good,4,5.0
1465,Susan,McKee,Business,poor,17,1.4
1466,Renea,McKenzie,English,good,3,4.8
1467,Stephen,McKeown,Mathematics,good,6,4.3
1468,Alex,McKinin,Engineering,good,3,5.0
1469,Mark,McKinney,Arts & Technology,good,2,4.5
1470,Adrienne,McLean,Film,average,48,3.3
1471,David,McLendon,Engineering,zero,0,N/A
1472,Helen,McLure,History,average,28,2.6
1473,Ryan,McMahan,Computer Science,good,10,4.8
1474,Timothy,McMahan,Computer Science,good,27,4.6
1475,Leslie,McMillin,Arts & Technology,poor,6,1.5
1476,Mark,McNabb,Finance,average,1,2.5
1477,Diane,McNulty,Business,good,2,4.3
1478,David,McPhail,Chemistry,poor,4,1.0
1479,Michael,McVay,Music,good,4,4.0
1480,Suzanne,McIntosh,Rhetoric,good,7,4.8
1481,Christa,McIntyre Rodriguez,Science,good,12,4.5
1482,Brian,McKay,Criminal Justice,good,4,5.0
1483,Susan,McKee,Business,poor,17,1.4
1484,Renea,McKenzie,English,good,3,4.8
1485,Stephen,McKeown,Mathematics,good,7,4.0
1486,Alex,McKinin,Engineering,good,3,5.0
1487,Mark,McKinney,Arts & Technology,good,2,4.5
1488,Adrienne,McLean,Film,average,48,3.3
1489,David,McLendon,Engineering,zero,0,N/A
1490,Helen,McLure,History,average,28,2.6
1491,Ryan,McMahan,Computer Science,good,10,4.8
1492,Timothy,McMahan,Computer Science,good,27,4.6
1493,Leslie,McMillin,Arts & Technology,poor,6,1.5
1494,Mark,McNabb,Finance,average,1,2.5
1495,Diane,McNulty,Business,good,2,4.3
1496,David,McPhail,Chemistry,poor,4,1.0
1497,Michael,McVay,Music,good,4,4.0
1498,Steven,McWilliams,Neuroscience,average,59,3.1
1499,Edward,Meda,Marketing,good,69,4.7
1500,Mary,Medrick,Music,good,20,3.6
1501,Amit,Mehra,Management,good,19,3.9
1502,Mili,Mehrotra,Business,poor,5,1.9
1503,Sanjay,Mehta,Operations Management,poor,4,1.9
1504,Sameer,Mehta,Information Science,good,7,5.0
1505,Iti,Mehta,Biology,good,9,4.5
1506,Jean-Marie,Meier,Finance,average,13,3.0
1507,Michele,Meitl,Criminal Justice,good,8,4.3
1508,Gabriele,Meloni,Chemistry,good,7,5.0
1509,Lynn,Melton,Chemistry,average,7,3.2
1510,Mitchell,Meltzer,Behavioral Sciences,good,3,4.0
1511,Agustin,Mendizabal,Political Science,good,1,4.0
1512,Ru Shih,Meng,Statistics,good,1,5.0
1513,Zixuan,Meng,Information Science,zero,0,N/A
1514,Syam,Menon,Management,average,11,3.3
1515,Diana,Meter,Psychology,good,3,4.7
1516,Greg,Metz,Fine Arts,average,12,3.0
1517,Clark,Meyer,Engineering,average,8,2.7
1518,Rabah,Mezenner,Engineering & Computer Science,good,37,3.9
1519,Sally,Michael,Business Communications,good,2,3.5
1520,Baron,Michael,Computer Science,good,10,4.5
1521,Patricia,Michaelson,Literature,good,12,4.0
1522,Douglas,Milbauer,Marketing,good,6,4.5
1523,Rym,Mili,Computer Science,average,14,2.9
1524,Dennis,Miller,Biology,average,17,3.3
1525,Brooke,Miller,Criminal Justice,good,4,4.0
1526,Jacqueline,Miller,Weather & Climate,good,7,4.5
1527,Vanessa,Miller,Psychology,good,6,3.9
1528,James,Miller,Mathematics,good,14,4.5
1529,Joshua,Miller,Arts & Technology,good,1,5.0
1530,Alyssa,Miller,Business Communications,poor,7,2.3
1531,Justin,Miller,Chemistry,poor,1,2.0
1532,Trey,Miller,Economics,zero,0,N/A
1533,Toyah,Miller,Business,average,15,2.6
1534,Banks,Miller,Political Science,good,18,4.2
1535,Van,Miller,Neuroscience,good,150,4.0
1536,Candice,Mills,Psychology,good,18,4.3
1537,Bennet,Min,Political Science,good,3,5.0
1538,Inki,Min,Arts & Technology,good,1,4.0
1539,Richard,Min,Computer Science,poor,92,1.9
1540,Edward,Meda,Marketing,good,69,4.7
1541,Mary,Medrick,Music,good,20,3.6
1542,Amit,Mehra,Management,good,19,3.9
1543,Mili,Mehrotra,Business,poor,5,1.9
1544,Sanjay,Mehta,Operations Management,poor,4,1.9
1545,Sameer,Mehta,Information Science,good,7,5.0
1546,Iti,Mehta,Biology,good,9,4.5
1547,Jean-Marie,Meier,Finance,average,13,3.0
1548,Michele,Meitl,Criminal Justice,good,8,4.3
1549,Rosana,Melendez,Electrical Engineering,poor,1,1.0
1550,Gabriele,Meloni,Chemistry,good,7,5.0
1551,Lynn,Melton,Chemistry,average,7,3.2
1552,Mitchell,Meltzer,Behavioral Sciences,good,3,4.0
1553,Agustin,Mendizabal,Political Science,good,1,4.0
1554,Ru Shih,Meng,Statistics,good,1,5.0
1555,Zixuan,Meng,Information Science,zero,0,N/A
1556,Syam,Menon,Management,average,11,3.3
1557,Diana,Meter,Psychology,good,3,4.7
1558,Greg,Metz,Fine Arts,average,12,3.0
1559,Clark,Meyer,Engineering,average,8,2.7
1560,Rabah,Mezenner,Engineering & Computer Science,good,37,3.9
1561,Sally,Michael,Business Communications,good,2,3.5
1562,Baron,Michael,Computer Science,good,10,4.5
1563,Patricia,Michaelson,Literature,good,12,4.0
1564,Douglas,Milbauer,Marketing,good,6,4.5
1565,Rym,Mili,Computer Science,average,14,2.9
1566,Dennis,Miller,Biology,average,17,3.3
1567,Brooke,Miller,Criminal Justice,good,4,4.0
1568,Jacqueline,Miller,Weather & Climate,good,7,4.5
1569,Vanessa,Miller,Psychology,good,6,3.9
1570,James,Miller,Mathematics,good,14,4.5
1571,Joshua,Miller,Arts & Technology,good,1,5.0
1572,Alyssa,Miller,Business Communications,poor,7,2.3
1573,Justin,Miller,Chemistry,poor,1,2.0
1574,Trey,Miller,Economics,zero,0,N/A
1575,Toyah,Miller,Business,average,15,2.6
1576,Banks,Miller,Political Science,good,18,4.2
1577,Van,Miller,Neuroscience,good,150,4.0
1578,Candice,Mills,Psychology,good,18,4.3
1579,Bennet,Min,Political Science,good,3,5.0
1580,Maria,Morales Leon,Economics,zero,0,N/A
1581,Camila,Morales Leon,Economics,average,3,3.3
1582,John,Morán González,English,average,1,2.5
1583,Tim,Morant,Mathematics,zero,0,N/A
1584,Faruck,Morcos,Biology,average,7,2.5
1585,Barbara,Morgan,Engineering,good,16,4.3
1586,Beth,Morley,Management,good,22,4.6
1587,Robert,Morris,Criminal Justice,good,9,3.7
1588,Cynthia,Morris,Accounting,good,15,4.0
1589,Joan,Mortensen,Humanities,poor,37,2.4
1590,Joan,Mortenson,History,average,18,2.9
1591,Jeffrey,Moshier,Political Science,poor,6,2.0
1592,Daniel,Moss,Communication,good,13,4.0
1593,Ann,Moulding,Geology,zero,0,N/A
1594,Vince,Mozik,Business,average,7,3.3
1595,Vince,Mozik,Operations Management,zero,0,N/A
1596,Liying,MU,Business,good,5,4.9
1597,Sara,Muehlenbein,Economics,average,5,2.9
1598,Jana,Mueller,Speech  Language Pathology,good,2,4.5
1599,Grace,Mueller,Political Science,good,7,5.0
1600,Alp,Muharremoglu,Business,good,8,4.0
1601,Ayesha,Mulla,Arts & Technology,good,2,4.5
1602,Cheri,Mullins,Communication,average,4,2.9
1603,Toni,Munoz,Arts & Humanities,zero,0,N/A
1604,Stuart,Murchison,Geography,good,5,3.5
1605,David,Murchison,Biology,good,7,4.4
1606,James,Murdoch,Economics,good,7,4.3
1607,Trisha,Murphy,English,good,2,4.5
1608,Jessica,Murphy,Literature,good,24,4.7
1609,Alexander,Murphy,Engineering,zero,0,N/A
1610,Jennifer,Murray,Finance,good,13,4.6
1611,B.P.,Murthi,Marketing,good,28,4.4
1612,Sean,Murthy,Computer Science,poor,36,2.1
1613,Adrian,Murza,Mathematics,zero,0,N/A
1614,Volkan,Muslu,Accounting,average,35,3.0
1615,Cihan,Muslu,History,good,12,4.2
1616,Derege,Mussa,Mathematics,average,59,2.8
1617,Canan,Mutlu,Management,good,3,5.0
1618,Sunay,Mutlu,Accounting,good,5,4.2
1619,Kathleen,Myers,Engineering,good,20,3.8
1620,Ramachandra,Natarajan,Accounting,average,14,3.0
1621,Brad,Nathan,Accounting,zero,0,N/A
1622,Vaidehi,Natu,Neuroscience,zero,0,N/A
1623,Asma,Naz,Arts & Technology,good,4,4.0
